,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
300472,12095016902,12095018700,-81.41452803653735,28.45891414402385,-81.41942395693275,28.564090045017657,492,07/05/21 - 07/11/21,12,312.0
300473,12095016902,12095017011,-81.41452803653735,28.45891414402385,-81.39805289199774,28.397452686996505,492,07/05/21 - 07/11/21,9,234.0
300476,12095016902,12095016906,-81.41452803653735,28.45891414402385,-81.40178844616578,28.48870455127973,492,07/05/21 - 07/11/21,32,834.0
300477,12095016902,12095014804,-81.41452803653735,28.45891414402385,-81.52300332750082,28.54202263343941,492,07/05/21 - 07/11/21,4,104.0
300478,12095016902,12095013605,-81.41452803653735,28.45891414402385,-81.32110607577914,28.500871095095285,492,07/05/21 - 07/11/21,4,104.0
300479,12095016902,12095014808,-81.41452803653735,28.45891414402385,-81.51804801648356,28.514217152052627,492,07/05/21 - 07/11/21,4,104.0
300480,12095016902,12095013606,-81.41452803653735,28.45891414402385,-81.32280766381201,28.46476939715355,492,07/05/21 - 07/11/21,8,208.0
300483,12095016902,12095014703,-81.41452803653735,28.45891414402385,-81.46509976875994,28.52119423036464,492,07/05/21 - 07/11/21,12,312.0
300484,12095016902,12095015300,-81.41452803653735,28.45891414402385,-81.38989459638704,28.59459967595637,492,07/05/21 - 07/11/21,6,156.0
300485,12095016902,12095010200,-81.41452803653735,28.45891414402385,-81.36978442444567,28.54566904969347,492,07/05/21 - 07/11/21,4,104.0
300486,12095016902,12095013702,-81.41452803653735,28.45891414402385,-81.346211371939,28.52080803194701,492,07/05/21 - 07/11/21,4,104.0
300488,12095016902,12095013900,-81.41452803653735,28.45891414402385,-81.36963704178119,28.5047799887277,492,07/05/21 - 07/11/21,8,208.0
300489,12095016902,12095011300,-81.41452803653735,28.45891414402385,-81.3683469402932,28.5218746693052,492,07/05/21 - 07/11/21,8,208.0
300490,12095016902,12095014906,-81.41452803653735,28.45891414402385,-81.52456530136912,28.55993226607234,492,07/05/21 - 07/11/21,8,208.0
300491,12095016902,12095016804,-81.41452803653735,28.45891414402385,-81.35741240129553,28.41538009296471,492,07/05/21 - 07/11/21,4,104.0
300495,12095016902,12095013511,-81.41452803653735,28.45891414402385,-81.29285192686547,28.490301415221552,492,07/05/21 - 07/11/21,6,156.0
300496,12095016902,12095012202,-81.41452803653735,28.45891414402385,-81.46369977755923,28.564844142697957,492,07/05/21 - 07/11/21,4,104.0
300497,12095016902,12095010400,-81.41452803653735,28.45891414402385,-81.39077555143085,28.533205256987674,492,07/05/21 - 07/11/21,4,104.0
300499,12095016902,12095011600,-81.41452803653735,28.45891414402385,-81.40796187752657,28.51943490328974,492,07/05/21 - 07/11/21,8,208.0
300500,12095016902,12095013201,-81.41452803653735,28.45891414402385,-81.30374420200012,28.54754681985977,492,07/05/21 - 07/11/21,4,104.0
300501,12095016902,12095013406,-81.41452803653735,28.45891414402385,-81.30388455388209,28.527743790085253,492,07/05/21 - 07/11/21,4,104.0
300502,12095016902,12095015001,-81.41452803653735,28.45891414402385,-81.55118924596114,28.58578309483181,492,07/05/21 - 07/11/21,4,104.0
300503,12095016902,12095010500,-81.41452803653735,28.45891414402385,-81.390026181719,28.53767140837413,492,07/05/21 - 07/11/21,8,208.0
300504,12095016902,12095016733,-81.41452803653735,28.45891414402385,-81.27612333802887,28.477325126396984,492,07/05/21 - 07/11/21,4,104.0
300505,12095016902,12095012100,-81.41452803653735,28.45891414402385,-81.4549502991764,28.564281862767245,492,07/05/21 - 07/11/21,4,104.0
300506,12095016902,12095018000,-81.41452803653735,28.45891414402385,-81.37835025340237,28.61223577909123,492,07/05/21 - 07/11/21,8,208.0
300507,12095016902,12095018100,-81.41452803653735,28.45891414402385,-81.5373257813495,28.567583874746397,492,07/05/21 - 07/11/21,4,104.0
300508,12095016902,12095014302,-81.41452803653735,28.45891414402385,-81.38289910385107,28.46901042126432,492,07/05/21 - 07/11/21,33,860.0
300509,12095016902,12095016904,-81.41452803653735,28.45891414402385,-81.41327605559964,28.47964433915281,492,07/05/21 - 07/11/21,27,703.0
300510,12095016902,12095013604,-81.41452803653735,28.45891414402385,-81.32027001576697,28.51027522997783,492,07/05/21 - 07/11/21,4,104.0
300511,12095016902,12095017804,-81.41452803653735,28.45891414402385,-81.53483482355483,28.74929380354316,492,07/05/21 - 07/11/21,4,104.0
300512,12095016902,12095012401,-81.41452803653735,28.45891414402385,-81.44311760825967,28.604259767807825,492,07/05/21 - 07/11/21,4,104.0
300513,12095016902,12095016716,-81.41452803653735,28.45891414402385,-81.26164853552807,28.52556854047899,492,07/05/21 - 07/11/21,4,104.0
300515,12095016902,12095012307,-81.41452803653735,28.45891414402385,-81.45964968700233,28.58716348348252,492,07/05/21 - 07/11/21,4,104.0
300516,12095016902,12095014502,-81.41452803653735,28.45891414402385,-81.4021580577457,28.498366675528786,492,07/05/21 - 07/11/21,20,521.0
300518,12095016902,12095015003,-81.41452803653735,28.45891414402385,-81.52924149487562,28.58069105317285,492,07/05/21 - 07/11/21,4,104.0
300522,12095016902,12095012201,-81.41452803653735,28.45891414402385,-81.47180956921808,28.56495606295512,492,07/05/21 - 07/11/21,4,104.0
